,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE
9000,40,Mar 87,R. Knowles,"Henry Riddell
R.J. Whitaker
J.C. Bowman","60
60
60","Oct 07
Oct 07
Oct 07","88
88
88",41
9001,40,Mar 87,J. Brill,James McMahon,xx,xx,50,46
9002,40,Mar 87,E.M. Langley,E.M. Langley,40,Jun 87,47,41
9003,40,Mar 87,R.F. Davis,"A.R. Johnson
C.E. Williams
W.J.C. Sharp","40
40
xx","May 87
May 87
xx","47
47
47",41
9004,40,Mar 87,W.J.C. Sharp,W.J.C. Sharp,40,Oct 87,48,46
9005,40,Mar 87,D. Biddle,,,,,20
9006,40,Mar 87,H.L Orchard,T. Galliers,41,May 88,49,15
9007,40,Mar 87,Capt. H. Brocard,,,,,41
9008,40,Mar 87,S. Roberts,"Alfred Harker
W.J.C. Sharp
W.J.C. Sharp (2ndSol)","40
40
xx","Jul 87
Jul 87
xx","48
47
48",41
9009,40,Mar 87,T.P. Kirkman,T.P. Kirkman,xx,xx,47,46
9010,40,Mar 87,J.J. Walker,"C.E. Williams
R. Knowles","40
40","May 87
May 87","47
47",45
9011,40,Mar 87,R. Lachlan,"A.R. Johnson
F.P. Matz","40
40","Jun 87
Jun 87","47
47",45
9012,40,Mar 87,R. Tucker,,61,U 05/08,,41
9013,40,Mar 87,Émile Vigarié,"A.R. Johnson
C.E. Williams","40
40","May 87
May 87","47
47",41
9014,40,Mar 87,D. Edwardes,,,,,61
9015,40,Mar 87,T.C. Simmons,P.H. Schoute,40,Oct 87,48,13Δ
9016,40,Mar 87,A. Gordon,H.J. Woodall,xx,xx,59,25
9017,40,Mar 87,A. Russell,T. Muir,xx,xx,47,2
9018,40,Mar 87,W.J. Greenstreet,"W.J. Greenstreet
Sarah Marks","xx
xx","xx
xx","49
49",92
