,,,,,,,,
,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE
14000,51,Oct 98,V.J. Bouton,,,,,31
14001,51,Oct 98,H.J. Woodall,,,,,28
14002,51,Oct 98,R.F. Muirhead,"H.W. Curjel
A. Cunningham","xx
xx","xx
xx","71
71",6
14003,51,Oct 98,R. Chartres,R. Chartres,xx,xx,71,17
14004,51,Oct 98,R.W.D. Christie,Allan Cunningham,52,Oct 99,72,9
14005,51,Oct 98,G.H. Hardy,G.H. Hardy,xx,xx,71,53
14006,51,Oct 98,W.C. Stanham,W.C. Stanham,xx,xx,71,45
14007,51,Oct 98,T. Mitcheson,"R. Knowles
T. Mitcheson
T. Roach","xx
xx
xx","xx
xx
xx","71
71
71",22
14008,51,Oct 98,Capt. B. Baden-Powell,,,,,17
14009,51,Oct 98,G. Hale Puckle,G. Hale Puckle,52,Jan 99,71,87
14010,51,Oct 98,Thomas T. Smith,"L.E. Reay
T.T. Smith","xx
xx","xx
xx","71
71",48
14011,51,Oct 98,Allan Cunningham,Allan Cunningham,51,Dec 98,70,29
14012,51,Nov 98,G.B. Matthews,"L.E. Reay
G.W. Preston","xx
xx","xx
xx","71
71",22
14013,51,Nov 98,Prof. Neuberg,,,,,47
14014,51,Nov 98,K.J. Sanjána,"E.P. Barrett
L.E. Reay
U.C. Ghosh
K.J. Sanjána","52
52
xx
xx","Apr 99
Apr 99
xx
xx","71
71
71
71",41
14015,51,Nov 98,E.J. Nanson,,,,,44
14016,51,Nov 98,Umes Chandra Ghosh,H.W. Curjel,52,Jul 99,72,53
14017,51,Nov 98,D. Biddle,H.W. Curjel,52,Apr 99,71,41
14018,51,Nov 98,William Hillhouse,,,,,44
14019,51,Nov 98,Charles Hutton,,,,,47
14020,51,Nov 98,Salutation,G.W. Preston,52,Mar 99,71,47
14021,51,Nov 98,R. Tucker,,,,,41
14022,51,Nov 98,B.N. Cama,H.W. Curjel,52,Apr 99,71,79
14023,51,Nov 98,T. Roach,"Umes C. Ghosh
G.W. Preston","52
52","Apr 99
Apr 99","71
71",3
14024,51,Nov 98,G. Hale Puckle,G. Hale Puckle,52,Jan 99,71,87
14025,51,Nov 98,W.A Whitworth,"H.J. Woodall
Allan Cunningham
H.W. Curjel","xx
xx
xx","xx
xx
xx","71
71
71",9
14026,51,Nov 98,R.F. Davis,"T. Mitcheson
C. Joss","xx
xx","xx
xx","72
72",41
14027,51,Nov 98,J.J. Barniville,K.J. Sanjána,xx,xx,74,61
14028,51,Nov 98,G.H. Hardy,G.H. Hardy,53,Dec 00,74,53
14029,51,Nov 98,R.F. Muirhead,,,,,10
14030,51,Nov 98,H. MacColl,"R.F. Davis
C. Joss","52
52","Jan 99
Jan 99","71
71",41
14031,51,Nov 98,W.W. Lane,,,,,3
14032,51,Nov 98,T. Mitcheson,"F.H. Peachell
R. Knowles
T. Mitcheson
H.W. Curjel","52
52
52
xx","Feb 99
Feb 99
Feb 99
xx","71
71
71
71",44
14033,51,Nov 98,"R. Knowles
[Revised ET Jan 99]","F.H. Peachell
T. Mitcheson","52
52","Jan 99
Jan 99","71
71",6
14034,51,Nov 98,G.W. Preston,"L.E. Reay
H.W. Curjel
G.W. Preston","52
52
52","Jul 99
Jul 99
Jul 99","72
72
72",41
14035,51,Nov 98,H.J. Woodall,"Allan Cunningham
C.E. Bickmore","52
52","Feb 99
Feb 99","71
71",9
14036,51,Nov 98,R.W.D. Christie,H.W. Curjel,xx,xx,72,9
14037,51,Nov 98,I. Arnold,"G.W. Preston
A. Cunningham","52
52","Jan 99
Jan 99","71
71",74
14038,51,Nov 98,V.J. Bouton,,,,,10
14039,51,Nov 98,H.W. Curjel,,,,,46
14040,51,Nov 98,C.E. Bickmore,C.E. Bickmore,xx,xx,71,25
14041,51,Nov 98,Thomas T. Smith,T. Mitcheson,xx,xx,73,48
14042,51,Dec 98,G.B. Mathews,"J.O. Watts
L.E. Reay","52
52","Mar 99
Mar 99","71
71",9
14043,51,Dec 98,Prof. Neuberg,,,,,48
14044,51,Dec 98,E.J. Nanson,,68,U 07/15,,44
14045,51,Dec 98,K.J. Sanjána,"H.J. Woodall
T. Savage","52
52","Apr 99
Apr 99","71
71",41
14046,51,Dec 98,A. Droz-Farny,,,,,41
14047,51,Dec 98,Umes Chandra Ghosh,"H.J. Woodall
G. Birtwistle","xx
xx","xx
xx","71
71",46
14048,51,Dec 98,Thomas Savage,H.W. Curjel,52,May 99,71,9
14049,51,Dec 98,Dr. Freeth,,,,,44
,,,,,,,,
,,,,,,,,
