,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE
10061,42,Apr 89,J.J. Sylvester,,,,,41
10062,42,Apr 89,Prof. Aiyar,"C. Morgan
J.L. Kitchin","xx
xx","xx
xx","52
52",3
10063,42,Apr 89,Prof. Morel,"R. Knowles
J.J. Barniville","42
42","Nov 89
Nov 89","52
52",41
10064,42,Apr 89,E. Bordage,H.J. Woodall,45,Apr 92,57,46
10065,42,Apr 89,F.P. Matz,"D. Biddle
C. Morgan","42
42","Jun 89
Jun 89","51
51",3
10066,42,Apr 89,Asutosh Mukhopâdhyây,C. Morgan,42,Aug 89,52,18
10067,42,Apr 89,Prof. Steggall,,,,,20
10068,42,Apr 89,G. de Longchamps,"Ignacio. Beyens
J.L. Kitchin","xx
xx","xx
xx","54
54",22
10069,42,Apr 89,Prof. Neuberg,,,,,47
10070,42,Apr 89,Prof. Schoute,"W.S. Forster
G.G. Storr","42
42","Nov 89
Nov 89","52
52",44
10071,42,Apr 89,Prof. Déprez,"R. Knowles
F.P. Matz","xx
xx","xx
xx","52
52",41
10072,42,Apr 89,Prof. Emmerich,"J.J. Barniville
N. Sarkar","42
42","Jul 89
Jul 89","52
52",47
10073,42,Apr 89,Prof. Mathews,,,,,3
10074,42,Apr 89,Prof. Gob,"A.M. Nash
G.G. Storr","xx
xx","xx
xx","52
52",41
10075,42,Apr 89,Nilkantha Sarkar,S. Mukhopâdhyây,42,Aug 89,52,41
10076,42,Apr 89,R.W. Genese,"R.H.W. Whapham
N. Sarkar","42
42","Jun 89
Jun 89","51
51",41
10077,42,Apr 89,J. Wolstenholme,"H.J. Woodall
Prof. Mukhopadhyay","xx
xx","xx
xx","53
53",61
10078,42,Apr 89,J.C. Malet,,,,,6
10079,42,Apr 89,Prof. Basû,,,,,25
10080,42,Apr 89,Syamadas Mukhopâdhyây,"S Mukhopadhyay
A. Mukhopadhyay","xx
xx","xx
xx","54
54",41
10081,42,Apr 89,Editor,,,,,46
10082,42,Apr 89,D. Biddle,"D. Biddle
J.L. Kitchin","43
43","Oct 90
Oct 90","54
54",41
10083,42,Apr 89,C. Hermite,"J.L. Kitchin
J.J. Barniville","xx
xx","xx
xx","52
52",6
10084,42,Apr 89,H.L. Orchard,"H.J. Woodall
N. Sarkar","xx
xx","xx
xx","52
52",22
10085,42,Apr 89,D. Edwardes,"J.L. Kitchin
Prof. Mukhopadhyay","xx
xx","xx
xx","52
52",22
10086,42,Apr 89,W.J. Greenstreet,P.H. Schoute,42,Sep 89,52,48
10087,42,Apr 89,W.J. Johnston,,,,,41
10088,42,Apr 89,F.R.J. Hervey,F.R.J. Hervey,xx,xx,54,41
10089,42,Apr 89,E. Lemoine,,,,,41
10090,42,Apr 89,J.C. St. Clair,,,,,48
10091,42,Apr 89,Artemas Marin,,,,,22
10092,42,Apr 89,H.W. Segar,"J.L. Kitchin
H.W. Segar","42
42","Nov 89
Nov 89","52
52",86
10093,42,Apr 89,R.H.W. Whapham,"R.H.W. Whapham
B. Chakravarti","43
43","Sep 90
Sep 90","54
54",48
10094,42,Apr 89,Capitaine de Rocquigny,"R. Knowles
J.L. Kitchin","42
42","Nov 89
Nov 89","52
52",9
10095,42,Apr 89,J.J. Milne,"R. Knowles
J.L. Kitchin","43
43","Jul 90
Jul 90","54
54",41
10096,42,Apr 89,W.S. McCay,"P.H. Schoute
A.M. Nash","42
42","Jun 89
Jun 89","51
51",41
10097,42,Apr 89,W.J.C. Sharp,R.F. Whitehead,xx,xx,77,46
10098,42,Apr 89,T.P. Kirkman,,,,,23
10099,42,Apr 89,R. Lachlan,,,,,44
,,,,,,,,
,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE
10100,42,Apr 89,J.W. Russell,,,,,61
10101,42,Apr 89,R. Tucker,R. Tucker,42,Jun 89,51,41
10102,42,Apr 89,L.J. Rogers,S. Sircom,xx,xx,52,96
10103,42,May 89,J.J. Sylvester,"D. Biddle
A.W. Robinson","42
42","Jul 89
Jul 89","52
52",13
10104,42,May 89,P.H. Schoute,,,,,44
10105,42,May 89,G.B. Mathews,G.E. Crawford,xx,xx,52,61
10106,42,May 89,Syamadas Mukhopâdhyây,"Swaminatha Aiyar
Ignacio. Beyens","43
43","Set 90
Sep 90","54
54",48
10107,42,May 89,W.H.H. Hudson,"D. Thomas
R. Knowles","xx
xx","xx
xx","52
52",41
10108,42,May 89,G. de Longchamps,,,,,48
10109,42,May 89,Prof. Mannheim,"P.H. Schoute
J.C. St. Clair","42
42","Jul 89
Jul 89","52
52",41
10110,42,May 89,"Prof. Bordage
Prof. Bhattacharya","D. Edwardes
J.L. Kitchin","xx
42
42","xx
Oct 89
Oct 89","xx
52
52",53
10111,42,May 89,J. Wolstenholme,"G.E. Crawford
A.T. Warren","xx
xx","xx
xx","52
52",41
10112,42,May 89,Prof. Morel,"R. Knowles
J.C. St. Clair","42
42","Sep 89
Sep 89","52
52",44
10113,42,May 89,Prof. Gob,"C.E. Youngman
R. Tucker
K.J. Sanjána","57
57
57","Feb 04
Feb 04
Feb 04","81
81
81",41
10114,42,May 89,Prof. Déprez,J.A.H. Johnston,58,May 05,83,45
10115,42,May 89,Prof. Neuberg,,,,,41
10116,42,May 89,Prof. Emmerich,A.M. Nash,43,Apr 90,53,45
10117,42,May 89,Prof. Catalan,"G.E. Crawford
J.L. Kitchin","xx
xx","xx
xx","52
52",41
10118,42,May 89,Editor,"P.H. Schoute
G.E. Crawford","42
42","Jul 89
Jul 89","52
52",48
10119,42,May 89,Hugh MacColl,"D. Biddle
J.C. St. Clair","42
42","Jul 89
Jul 89","52
52",11
10120,42,May 89,Maurice D’Ocagne,,60,U 11/07,,44
10121,42,May 89,E. Lemoine,"P.H. Schoute
G.E. Crawford","42
42","Sep 89
Sep 89","52
52",48
10122,42,May 89,F.R.J. Hervey,F.R.J. Hervey,xx,xx,54,41
10123,42,May 89,J. Griffiths,W. Gross,42,Aug 89,52,22
10124,42,May 89,D. Biddle,J.J. Barniville,xx,xx,54,13
10125,42,May 89,Ch. Hermite,"J.L. Kitchin
W. Gross
G.B. Mathews","42
42
xx","Sep 89
Sep 89
xx","xx
xx
52",9
