,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE
12000,46,Jul 93,Prof. Barisien,,,,,41
12001,46,Jul 93,Prof. Bernés,"A. Droz-Farny
H.W. Curjel","46
46","Nov 93
Nov 93","60
60",41
12002,46,Jul 93,Prof. Moreau,"V.J. Bouton
W.H. Hooker","46
46","Sep 93
Sep 93","60
60",41
12003,46,Jul 93,Prof. Coupeau,"H.W. Pyddoke
J.M. Greenwood","46
46","Nov 93
Nov 93","60
60",41
12004,46,Jul 93,Prof. Pelletreau,"W.H. Hooker
J. Boland","46
46","Sep 93
Sep 93","60
60",41
12005,46,Jul 93,Prof. Roujeau,"H.J. Woodall
Prof. Bhattacharya","xx
xx","xx
xx","61
61",41
12006,46,Jul 93,Prof. Hain,"Prof. Krishnamacharry
A. Droz-Farny","46
46","Dec 93
Dec 93","60
60",41
12007,46,Jul 93,Prof. Gob,,,,,41
12008,46,Jul 93,Editor,"M. Brierley
R. Knowles","46
46","Dec 93
Dec 93","60
60",41
12009,46,Jul 93,H.J. Woodall,,,,,11
12010,46,Jul 93,John Griffiths,,,,,41
12011,46,Jul 93,J.H. Grace,"A. Droz-Farny
R. Knowles","47
47","Feb 94
Feb 94","61
61",41
12012,46,Jul 93,W.J. Greenstreet,"A. Droz-Farny
H.W. Curjel","46
46","Nov 93
Nov 93","60
60",44
12013,46,Jul 93,R. Chartres,"H.J. Woodall
M. Brierley","xx
xx","xx
xx","60
60",2
12014,46,Jul 93,A.E. Thomas,,68,U 08/15,,22
12015,46,Jul 93,C. Leudesdorf,"H.J. Woodall
N. Sarkar
W.F. Beard
C.M. Ross
J.C. Swaminarayan","46
46
xx
xx
xx","Oct 93
Oct 93
xx
xx
xx","60
60
97
97
97",25
12016,46,Jul 93,T.C. Simmons,,63,U 02/10,,13
12017,46,Jul 93,N’Importe,,,,,81
12018,46,Jul 93,J.J. Walker,,67,U 03/14,,41
12019,46,Jul 93,R. Russell,,,,,44
12020,46,Aug 93,J.J. Sylvester,H.J. Woodall,46,Nov 93,60,51
12021,46,Aug 93,R.B. Clayton,"J.F. Hudson
H.W. Curjel","47
47","Feb 94
Feb 94","61
61",45
12022,46,Aug 93,G.B.M. Zerr,"J.M. Stoops
Prof. Culley","xx
xx","xx
xx","61
61",44
12023,46,Aug 93,Prof. Bigot,"J.M. Stoops
B. Chakravarti","xx
xx","xx
xx","61
61",47
12024,46,Aug 93,Prof. Duporcq,"J.M. Stoops
Gertrude Poole","46
46","Dec 93
Dec 93","60
60",44
12025,46,Aug 93,Prof. Déprez,"H.J. Woodall
N. Sarkar","xx
xx","xx
xx","62
62",41
12026,46,Aug 93,Prof. Sollertinsky,,,,,41
12027,46,Aug 93,Prof. Neuberg,"J.M Stoops
H.J. Woodall","46
46","Nov 93
Nov 93","60
60",41
12028,46,Aug 93,A. Droz Farny,"R. Knowles
M. Brierley","xx
xx","xx
xx","60
60",44
12029,46,Aug 93,Prof. Bourrienne,"J.M. Stoops
Prof. Bhattacharya","47
47","Feb 94
Feb 94","61
61",44
12030,46,Aug 93,Prof. Aiyar,K.J. Sanjána,xx,xx,89,41
12031,46,Aug 93,Ignacio Beyens,"A. Droz-Farny
Prof. Bhattacharya","xx
xx","xx
xx","64
64",41
12032,46,Aug 93,Prof. Morley,"A. Droz-Farny
Prof. Bhattacharya","47
47","Jan 94
Jan 94","61
61",76
12033,46,Aug 93,C.B.S. Cavallin,,57,U 09/04,,53
12034,46,Aug 93,Prof. Lucas,,,,,48
12035,46,Aug 93,Prof. Dellac,,57,U 09/04,,17
12036,46,Aug 93,Prof. Rindi,"J.M. Stoops
J.F. Hudson","46
46","Nov 93
Nov 93","60
60",41
12037,46,Aug 93,Prof. Delahaye,"H.W. Pyddoke
T. Savage","47
47","Apr 94
Apr 94","61
61",41
12038,46,Aug 93,W.K. Clifford,,,,,48
12039,46,Aug 93,Prof. Barisien,"W.J. Greenstreet
Prof. Krishnachandra","xx
xx","xx
xx","63
63",45
12040,46,Aug 93,Editor,"Gertrude Poole
N. Sarkar","47
47","Feb 94
Feb 94","61
61",41
12041,46,Aug 93,W.J. Greenstreet,"H.J. Woodall
G.B.M. Zerr","xx
xx","xx
xx","61
61",61
12042,46,Aug 93,H.J. Woodall,,61,U 04/08,,16
12043,46,Aug 93,J. Griffiths,E.J. Nanson,62,Apr 09,91,6
12044,46,Aug 93,M. Brierley,,,,,11
12045,46,Aug 93,V.J. Bouton,"J. McMahon
N. Sarkar","xx
xx","xx
xx","61
61",57
12046,46,Aug 93,D. Biddle,,,,,41
12047,46,Aug 93,R. Tucker,,,,,41
12048,46,Aug 93,R.F. Davis,"R. Chartres
A. Droz-Farny","46
46","Dec 93
Dec 93","60
60",41
12049,46,Aug 93,D. Edwardes,,,,,41
,,,,,,,,
,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE
12050,46,Aug 93,R. Knowles,"J.F. Hudson
Prof. Koehler","46
46","Nov 93
Nov 93","60
60",45
12051,46,Aug 93,T.P. Kirkman,,,,,41
12052,46,Aug 93,E. White,,65,U 04/12,,6
12053,46,Sep 93,J.J. Sylvester,,57,U 09/04,,22
12054,46,Sep 93,G.B.M. Zerr,"G.B.M. Zerr
Prof. Mukhopadhyay","xx
xx","xx
xx","46
46",7
12055,46,Sep 93,Prof. Clayton,Prof. Clayton,xx,xx,74,46
12056,46,Sep 93,A. Macfarlane,,,,,31
12057,46,Sep 93,V. Ramaswami Aiyar,,58,U 06/05,,41
12058,46,Sep 93,Prof. Neuberg,,,,,46
12059,46,Sep 93,Prof. Bernés,"A. Droz-Farny
B. Chakravarti","47
47","Nov 94
Nov 94","62
62",41
12060,46,Sep 93,Prof. Pradel,"A. Droz-Farny
Prof. Bhattacharya","48
48","Nov 95
Nov 95","64
64",41
12061,46,Sep 93,Prof. Verina,"A. Droz-Farny
Prof. Bhattacharya","xx
xx","xx
xx","61
61",41
12062,46,Sep 93,Prof. Rebuffel,"A. Droz-Farny
N. Sarkar","47
47","Jan 94
Jan 94","61
61",44
12063,46,Sep 93,Prof. Cuny,"D. Biddle
H.W. Curjel","46
46","Dec 93
Dec 93","60
60",44
12064,46,Sep 93,Prof. Fleuranceau,"A. Droz-Farny
Prof. Mukhopadhyay","46
46","Dec 93
Dec 93","60
60",41
